verb;usage;transFr;transEn;yellow
украшать\slash украсить;;orner;adorn;0
улетать\slash улететь;;s'envoler;fly (away);1
улучшать\slash улучшить;;améliorer;improve;0
улыбаться\slash улыбнуться;;sourire;smile;0
уменьшать\slash уменьшить;;diminuer;diminish;0
уменьшаться\slash уменьшиться;;diminuer;diminish;0
уметь\slash с-;;savoir;be able;1
умирать\slash умереть;;mourir;die;0
умножать\slash умножить;;augmenter;increase;0
умываться\slash умыться;;se laver;wash (oneself);0
уносить\slash унести;;emporter;take away;0
упаковывать\slash упаковать;;emballer;pack (up);0
употреблять\slash употребить;;employer;use;0
управлять;;diriger;govern;0
усиливать\slash усилить;;renforcer;strengthen;0
усиливаться\slash усилиться;;se renforcer;become stronger;0
успевать\slash успеть;;arriver à temps;have time;1
успокаивать\slash успокоить;;tranquilliser;calm;0
успокаиваться\slash успокоиться;;se tranquilliser;calm / quiet / settle down;0
уставать\slash устать;;se fatiguer;get tired (with);1
устанавливать\slash установить;;placer;place;0
устанавливаться\slash установиться;;être formé;be settled;0
ухаживать;;soigner;nurse;1
уходить\slash уйти;;s'en aller;leave;0
ухудшаться\slash ухудшиться;;empirer;become worse;0
участвовать;;participer (à);take part (in);1
учить\slash на-;;apprendre à;teach;0
учить\slash учиться;;enseigner à;to teach;0
учиться\slash вы-;;apprendre;learn;0
фотографировать\slash с-;;photographier;photograph;0
хвалить\slash по-;;louer de;compliment (for);0
хватать\slash хватить;;saisir;snatch;0
ходить\slash пойти;;marcher;go;1
хотеть\slash за-;;vouloir;want;0
хотеться\slash за-;;avoir envie de;want;0
хранить;;garder;keep;0
храниться\slash хранить;;se trouver;be kept;0
целовать\slash по-;;embrasser (à, sur);kiss;0
целоваться\slash по-;;s'embrasser;kiss;0
чинить\slash по-;;réparer;repair;0
чистить\slash по-;;nettoyer;clean;0
читать\slash прочесть;;lire;read;0
читаться\slash прочесть;;se lire;read;0
чувствовать\slash пере-;;sentir;feel;0
шагать\slash шагнуть;;marcher;step;0
шить\slash с-;;coudre;sew;0
шуметь;;faire du bruit;make a noise;1
шутить\slash по-;;plaisanter;joke;1
экономить\slash с-;;économiser;economize;0
являться\slash явиться;;se présenter;appear;0
