verb;usage;transFr;transEn;yellow
протестовать\slash за-;;protester;protest (against / at);1
блокировать;;bloquer;blockade;0
потреблять\slash потребить;;consommer;consume;0
заведовать;;administrer;be in charge;1
оперировать;;opérer;operate (on);0
сосать\slash по-;;sucer;suck;0
иллюстрировать\slash про-;;illustrer;illustrate;0
вспыхивать\slash вспыхнуть;;jaillir;blaze up;1
специализироваться;;se spécialiser;specialize (in);0
информировать\slash про-;;informer;inform;0
пролетать\slash пролететь;;survoler;fly (past, by);1
грабить\slash о-;;piller;rob;0
ссориться\slash по-;;se quereller;quarrel;0
разыскивать\slash разыскать;;rechercher / retrouver;look for/find;0
уточнять\slash уточнить;;préciser;specify;0
хоронить\slash по-;;enterrer;bury;0
утешать\slash утешить;;consoler;comfort;0
передумывать\slash передумать;;changer d'avis;change one's mind;0
обдумывать\slash обдумать;;bien réfléchir;consider, think over;0
задумывать\slash задумать;;concevoir;conceive;0
продумывать\slash продумать;;considérer une idée;think through;0
глотать\slash глотнуть;;avaler;swallow;0
краснеть\slash по-;;rougir;edden;0
одобрять\slash одобрить;;approuver;approve (of);0
выращивать\slash вырастить;;élever;grow;0
душить\slash за-;;étouffer;smother;0
притворяться\slash притвориться;;faire semblant;feign;0
растворять\slash растворить;;dissoudre;dissolve;0
опережать\slash опередить;;devancer;pass ahead (of);0
красить\slash вы-;;peindre;colo(u)r;0
краситься\slash вы-;;se maquiller;put on make up;0
парализовать;;paralyser;paralyze;0
редактировать\slash от-;;éditer (rédiger);edit;0
провоцировать\slash с-;;provoquer;provoke (to);0
оккупировать;;occuper;occupy;0
прогнозировать;;pronostiquer;forecast;0
копировать\slash с-;;copier;copy;0
вручать\slash вручить;;remettre;hand over (to);0
поручать\slash поручить;;confier;commission (with);0
застреливать\slash застрелить;;abattre;gun down;0
шокировать;;choquer;horrify;0
сжигать\slash сжечь;;brûler;burn (down / out);0
вскакивать\slash вскочить;;sauter sur;jump (on, into);1
стареть\slash по-;;vieillir;grow old;1
тосковать;;languir;be sad / melancholy;1
прибавлять\slash прибавить;;additionner;add;0
избавляться\slash избавиться;от чего;se débarrasser de;get rid (of);0
топить\slash *;;chauffer;stoke (an oven);0
жертвовать\slash по-;;faire un don;make a donation;0
мигать\slash мигнуть;;cligner;blink;1
интерпретировать;;interpréter;interpret;0
формулировать\slash с-;;formuler;formulate;0
разыгрывать\slash разыграть;;jouer un tour;play a trick;0
свистеть\slash свистнуть;;siffler;whistle;0
образовывать\slash образовать;;organiser;form;0
образовываться\slash образоваться;;se former;form;0
преобразовывать\slash преобразовать;;convertir;convert;0
нырять\slash нырнуть;;plonger;dive;1
вывозить\slash вывезти;;enlever, exporter;take out, export;0
перевозить\slash перевезти;;transporter;transport;0
ввозить\slash ввезти;;importer;import;0
изолировать;;isoler;isolate;0
щёлкать\slash щёлкнуть;;claquer, cliquer;click;0
навещать\slash навестить;;rendre visite;come to visit;0
извещать\slash известить;;annoncer;announce;0
ронять\slash уронить;;laisser tomber;drop;0
дразнить\slash по-;;taquiner;tease;0
