verb;usage;transFr;transEn;yellow
сердиться\slash рассердиться;;se fâcher;be(come) angry (with);0
шуметь;;faire du bruit;make a noise;1
назначать\slash назначить;;fixer;appoint;0
удивлять\slash удивить;;étonner;astonish;0
останавливать\slash остановить;;arrêter;stop;0
любоваться\slash залюбоваться;;admirer;admire;0
планировать\slash запланировать;;планировать II;plan;0
выигрывать\slash выиграть;;gagner;win;0
напугать;;effrayer;frighten;0
побеждать\slash победить;;vaincre;be victorious (over);0
увлекаться\slash увлечься;;se passionner pour;be carried away;0
теряться\slash потеряться;;se perdre;be lost;0
лить;;verser;pour;0
договариваться\slash договориться;;traiter;come (to);0
уговаривать\slash уговорить;;exhorter à;persuade;0
кипеть;;bouillir;boil;1
докладывать\slash доложить;;rapporter;report (on);0
прорабатывать\slash проработать;;fignoler;work (for some time);0
увозить\slash увезти;;emmener;drive / take away;0
разрешаться\slash разрешиться;;être résolu;be (re)solved;0
ухаживать;;soigner;nurse;1
усиливать\slash усилить;;renforcer;strengthen;0
уводить\slash увести;;emmener;take away;0
усиливаться\slash усилиться;;se renforcer;become stronger;0
нажимать\slash нажать;;appuyer sur;press;0
жевать\slash пожевать;;mâcher;chew;0
хвалить\slash похвалить;;louer de;compliment (for);0
подсказывать\slash подсказать;;souffler;prompt (to);0
складывать\slash сложить;;ranger;put together / up / down;0
сниться\slash присниться;;voir en rêve;dream;0
шить\slash сшить;;coudre;sew;0
промалчивать\slash промолчать;;se taire;be / keep silent;1
добираться\slash добраться;;parvenir à;get to;0
тормозить\slash затормозить;;freiner;apply the brake;0
проигрывать\slash проиграть;;perdre;lose;0
целоваться\slash поцеловаться;;s'embrasser;kiss;0
отказывать\slash отказать;;refuser à;refuse (smth. to smb.);0
читаться\slash прочесть;;se lire;read;0
раздавать\slash раздать;;distribuer (parmi);distribute (to, among);0
обучаться\slash обучиться;;étudier;learn;0
догонять\slash догнать;;courir après;catch up;1
праздновать\slash отпраздновать;;fêter;celebrate;0
выпадать\slash выпасть;;tomber;fall out;1
экономить\slash сэкономить;;économiser;economize;0
разбивать\slash разбить;;casser;break (to pieces);0
отрывать\slash оторвать;;détacher;tear / pull / turn off / away;0
прекращать\slash прекратить;;cesser;stop;0
греметь\slash прогреметь;;gronder;thunder;1
повышаться\slash повыситься;;hausser;rise;0
прекращаться\slash прекратиться;;cesser;end;0
измерять\slash измерить;;mesurer;measure;0
зажигать\slash зажечь;;allumer;set fire (to);0
взлетать\slash взлететь;;monter;fly up;1
улучшать\slash улучшить;;améliorer;improve;0
сокращать\slash сократить;;raccourcir;shorten;0
разрезать\slash разрезать;;couper;cut (up);0
пожимать\slash пожать;;presser;press;0
оформлять\slash оформить;;donner une forme à;form;0
вертеть;;tourner;turn (round and round);0
угощать\slash угостить;;régaler;entertain (to, at);0
дежурить;;être de service;be on duty;1
греть;;chauffer;give out warmth;0
рекламировать;;faire de la publicité à;advertise;0
спасаться\slash спастись;;se sauver;save oneself;0
восклицать\slash воскликнуть;;s'écrier;exclaim;1
ревновать;;être jaloux (de);be jealous (of);0
записываться\slash записаться;;s'inscrire;enroll (in);0
очищать\slash очистить;;nettoyer;clean;0
отменять\slash отменить;;supprimer;abolish;0
чинить\slash починить;;réparer;repair;0
лаять;;aboyer;bark;0
вдыхать\slash вдохнуть;;aspirer;inhale;0
голодать;;souffrir la faim;hunger;1
застраховывать\slash застраховать;;assurer contre;insure (against);0
выбегать\slash выбежать;;sortir en courant;run out;1
избирать\slash избрать;;élire;choose (as, for);0
вытягивать\slash вытянуть;;allonger;draw out;0
влюбляться\slash влюбиться;;devenir amoureux de;fall in love (with);0
наклоняться\slash наклониться;;se pencher;stoop;0
взрываться\slash взорваться;;faire explosion;blow up;0
тошнить\slash затошнить;;безл.;feel sick;0
успокаиваться\slash успокоиться;;se tranquilliser;calm / quiet / settle down;0
тренировать\slash натренировать;;entraîner;train;0
смешивать\slash смешать;;mêler;mix (up);0
расслабляться\slash расслабить;;расслабиться;relax;0
ремонтировать\slash отремонтировать;;faire des réparations de;repair;0
надоедать\slash надоесть;;importuner;bother;1
разворачивать\slash развернуть;;разворотить;unfold;0
практиковаться\slash практиковать;;s'employer;practise;0
стричь\slash остричь;;couper;cut;0
разбиваться\slash разбиться;;se casser;break;0
гасить\slash погасить;;éteindre;extinguish;0
завязывать\slash завязать;;завязать I;tie (up);0
взрывать\slash взорвать;;faire exploser;blow up;0
советоваться\slash посоветоваться;;consulter sur;consult;0
расставлять\slash расставить;;placer;place;0
портиться\slash испортиться;;casser;deteriorate;0
ухудшаться\slash ухудшиться;;empirer;become worse;0
ударять\slash ударить;;taper;strike;0
отключать\slash отключить;;débrancher;cut off;0
нюхать\slash понюхать;;sentir;smell;0
угадывать\slash угадать;;deviner;guess (right);0
аплодировать;;applaudir;applaud;1
мерзнуть\slash замерзнуть;;geler;freeze;1
мерить\slash смерить;;mesurer;measure;0
мочить;;mouiller;to wet;0
сушить\slash высушить;;sécher;dry;0
взвешивать\slash взвесить;;peser;weigh;0
загорать\slash загореть;;se hâler;to sunbathe;1
вращать;;tourner, pivoter;turn, roll;0
закуривать\slash закурить;;allumer une cigarette;light (up);0
награждать\slash наградить;;récompencer;reward (with);0
подготавливать\slash подготовить;;préparer;prepare (for);0
потеть\slash вспотеть;;suer;вспотеть;1
программировать\slash запрограммировать;;programmer;programme;0
прикреплять\slash прикрепить;;fixer;fasten (to);0
передвигать\slash передвинуть;;déplacer;move;0
бодрствовать;;veiller;be / stay awake;1
простужаться\slash простудиться;;prendre froid;catch a cold;0
заговаривать\slash заговорить;;commencer à parler;begin / start / try to talk / speak;1
увольнять\slash уволить;;congédier;discharge;0
взрослеть\slash повзрослеть;;;become adult;1
страховать\slash застраховать;;assurer;insure (against);0
клеить\slash склеить;;coller;glue;0
выздоравливать\slash выздороветь;;guérir;get better / well;1
продлевать\slash продлить;;prolonger;prolong;0
консультировать\slash проконсультировать;;consulter;advise (on, about);0
выдыхать\slash выдохнуть;;expirer;breathe out;0
прописывать\slash прописать;;ordonner;prescribe;0
дорожать\slash вздорожать;;(r)enchérir;rise in price;1
консультироваться\slash проконсультироваться;;consulter;consult (with);0
проглатывать\slash проглотить;;avaler;swallow;0
развязывать\slash развязать;;défaire;untie;0
скачивать\slash скатить;;faire rouler;download;0
развешивать\slash развесить;;peser;weigh (out);0
коллекционировать;;collectionner;collect;0
кипятить\slash вскипятить;;faire bouillir;boil;0
подвигаться\slash подвинуться;;remuer un peu;move;0
сгибать\slash согнуть;;courber;bend;0
вычеркивать\slash вычеркнуть;;radier;strike out;0
бронировать\slash забронировать;;réserver;reserve;0
выпрямляться\slash выпрямиться;;se redresser;become straight;0
зубрить\slash зазубрить;;apprendre par cœur;cram;0
обменивать\slash обменять;;(échanger troquer) contre;exchange (for smth., with smb.);0
наставать\slash настать;;arriver;come;1
прибивать\slash прибить;;clouer;fasten;0
одалживать\slash одолжить;;prêter;lend;0
размешивать\slash размешать;;mélanger;stir (up);0
перекусывать\slash перекусить;;couper;cut / bite through;0
дешеветь\slash подешеветь;;devenir meilleur marché;cheapen;1
остужать\slash остудить;;refroidir;cool;0
разменивать\slash разменять;;changer;change (for);0
воспаляться\slash воспалиться;;s'enflammer;become;0
авторизоваться;;autoriser;authorize;0
удочерять\slash удочерить;;adopter;adopt;0
