verb;usage;transFr;transEn;yellow
сообщать\slash сообщить;;communiquer à;communicate (to);not movement
соревноваться;;être en émulation;compete (with in);not movement
состояться;;avoir lieu;take place;not movement
сохранять\slash сохранить;;conserver;keep;not movement
спасать\slash спасти;;sauver;save;not movement
спасаться\slash спастись;;se sauver;save oneself;not movement
спать;;dormir;be asleep;not movement
спешить\slash -;;être pressé;dismount;movement
спрашивать\slash спросить;;demander;ask;not movement
спускаться\slash спуститься;;dévaler;go down;not movement
сравнивать\slash сравнить;;comparer;compare (with);not movement
ставить\slash по-;;mettre;put;not movement
становиться\slash стать;;devenir;stand;not movement
стараться\slash по-;;tâcher de;endeavo(u)r;not movement
стирать\slash стереть;;essuyer;wipe / rub off / out;not movement
стоить;;coûter;cost;movement
стоять;;se tenir debout;stand;movement
страдать\slash по-;;souffrir;suffer (from);movement
страховать\slash за-;;assurer;insure (against);not movement
стрелять\slash выстрелить;;tirer;shoot (at);not movement
стричь\slash о-;;couper;cut;not movement
строить\slash вы-;;bâtir;build (up);not movement
стучать\slash по-;;frapper;knock (at);not movement
сушить\slash вы-;;sécher;dry;not movement
сходить\slash сойти;;descendre;go / come down (from);movement
считать\slash счесть;;compter;count;not movement
съездить;;aller;go;movement
танцевать\slash с-;;danser;dance;not movement
терпеть\slash пере-;;endurer;suffer;not movement
терять\slash по-;;perdre;lose;not movement
теряться\slash по-;;se perdre;be lost;not movement
течь;;couler;flow;movement
толкать\slash толкнуть;;pousser;push;not movement
торговать;;faire du commerce;deal (in);not movement
тормозить\slash за-;;freiner;apply the brake;not movement
торопиться\slash по-;;être pressé;hurry;not movement
тошнить\slash за-;;безл.;feel sick;not movement
тратить\slash ис-;;dépenser;spend;not movement
требоваться\slash по-;;être nécessaire;need;not movement
тренировать\slash на-;;entraîner;train;not movement
трогать\slash тронуть;;toucher de;touch;not movement
трудиться\slash по-;;travailler;work;not movement
тянуть\slash по-;;tirer;pull;not movement
убегать\slash убежать;;s'enfuir;run away;movement
убивать\slash убить;;massacrer;kill;not movement
убирать\slash убрать;;enlever;take / put / clear away;not movement
уважать;;respecter;respect;not movement
увеличивать\slash увеличить;;agrandir;increase;not movement
увеличиваться\slash увеличиться;;s'agrandir;increase;not movement
увлекаться\slash увлечься;;se passionner pour;be carried away;not movement
уводить\slash увести;;emmener;take away;not movement
увозить\slash увезти;;emmener;drive / take away;not movement
увольнять\slash уволить;;congédier;discharge;not movement
угадывать\slash угадать;;deviner;guess (right);not movement
уговаривать\slash уговорить;;exhorter à;persuade;not movement
угощать\slash угостить;;régaler;entertain (to, at);not movement
ударять\slash ударить;;taper;strike;not movement
удивлять\slash удивить;;étonner;astonish;not movement
удивляться\slash удивиться;;s'étonner (de);wonder at;not movement
удочерять\slash удочерить;;adopter;adopt;not movement
уезжать\slash уехать;;partir (pour);leave (for);movement
ужинать\slash по-;;souper;take / have supper;movement
узнавать\slash узнать;;reconnaître;know (again);not movement
указывать\slash указать;;indiquer;show;not movement
украшать\slash украсить;;orner;adorn;not movement
улетать\slash улететь;;s'envoler;fly (away);movement
улучшать\slash улучшить;;améliorer;improve;not movement
улыбаться\slash улыбнуться;;sourire;smile;movement aspect unset
уменьшать\slash уменьшить;;diminuer;diminish;not movement
уменьшаться\slash уменьшиться;;diminuer;diminish;not movement
уметь\slash с-;;savoir;be able;movement
умирать\slash умереть;;mourir;die;not movement
умножать\slash умножить;;augmenter;increase;not movement
умываться\slash умыться;;se laver;wash (oneself);not movement
уносить\slash унести;;emporter;take away;not movement
упаковывать\slash упаковать;;emballer;pack (up);not movement
употреблять\slash употребить;;employer;use;not movement
управлять;;diriger;govern;not movement
усиливать\slash усилить;;renforcer;strengthen;not movement
усиливаться\slash усилиться;;se renforcer;become stronger;not movement
успевать\slash успеть;;arriver à temps;have time;movement
успокаивать\slash успокоить;;tranquilliser;calm;not movement
успокаиваться\slash успокоиться;;se tranquilliser;calm / quiet / settle down;not movement
уставать\slash устать;;se fatiguer;get tired (with);movement
устанавливать\slash установить;;placer;place;not movement
устанавливаться\slash установиться;;être formé;be settled;not movement
ухаживать;;soigner;nurse;movement
уходить\slash уйти;;s'en aller;leave;not movement
ухудшаться\slash ухудшиться;;empirer;become worse;not movement
участвовать;;participer (à);take part (in);movement
учить\slash на-;;apprendre à;teach;not movement
учить\slash учиться;;enseigner à;to teach;not movement
